date,dppi,dpsi,bird_ID,band_number,swab_id,mass,l_eye_score,r_eye_score,scorer,swab,swabber,plasma,tears,tears_vol_l,tears_vol_r,rbcs,smear,experiment_notes,capture_date,population,capture_location,experiment_location,antimalarials,primary_treatment,primary_dose,primary_inoc_date,secondary_treatment,secondary_dose,secondary_inoc_date,recovered_prior_sec,elisa_date,od_mean,room,stack,cage,sex,mass_cap,vital_notes,qpcr_plate,qpcr_date,well,cq_value,quantity,quantity1,log10_quantity1,extraction_plate,extraction_date,cq8,cq7,cq6,cq5,cq4,cq3,cq2,cq1,qpcr_neg_cntrls,slope,efficiency,r2,yinter,error
20211011,-8,-50,-8_2275,2275,2275 PID -8,20.4,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210616,va,mh,vt,n,sham,0,20211019,2,100,20211130,y,20210908,0.042,l,1,4,f,19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",3,20220401,B9,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2372,2372,2372 PID -8,21.2,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210715,va,dd,vt,n,sham,0,20211019,1,30,20211130,y,20210917,0.044,l,1,1,m,20.5,NA,3,20220401,B8,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2374,2374,2374 PID -8,19.1,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210715,va,dd,vt,n,sham,0,20211019,3,300,20211130,y,20210917,0.047,l,1,3,f,18.6,NA,3,20220401,A9,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2387,2387,2387 PID -8,20.1,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210715,va,dd,vt,n,high,30000,20211019,2,100,20211130,y,20210917,0.043,l,3,2,f,19.6,NA,3,20220401,B7,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2389,2389,2389 PID -8,19.7,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210716,va,ivt,vt,n,low,750,20211019,2,100,20211130,y,20210917,0.043,l,3,3,m,19.6,NA,3,20220401,H6,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2390,2390,2390 PID -8,18.8,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210716,va,ivt,vt,n,low,750,20211019,3,300,20211130,y,20210917,0.043,l,3,1,f,19.1,NA,3,20220401,F8,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2393,2393,2393 PID -8,19,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210719,va,ivt,vt,n,sham,0,20211019,4,7000,20211130,y,20210915,0.042,l,1,2,f,19.6,NA,3,20220401,E6,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2408,2408,2408 PID -8,19,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210720,va,sr,vt,n,high,30000,20211019,4,7000,20211130,y,20210915,0.044,l,4,1,f,19.3,NA,3,20220401,A8,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2428,2428,2428 PID -8,20,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210723,va,ps,vt,n,high,30000,20211019,3,300,20211130,y,20210915,0.045,f,4,3,f,19.5,NA,2,20220401,G8,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2429,2429,2429 PID -8,21,na,na,na,y,dmh,y,n,na,na,n,n,Pink conjuctiva,20210723,va,ps,vt,n,sham,0,20211019,1,30,20211130,y,20210924,0.042,e,1,1,f,21.6,NA,3,20220401,D5,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2441,2441,2441 PID -8,22.2,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210723,va,ps,vt,n,high,30000,20211019,1,30,20211130,y,20210915,0.043,f,4,2,f,21.8,NA,2,20220401,A10,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2442,2442,2442 PID -8,21.3,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210723,va,ps,vt,n,low,750,20211019,1,30,20211130,y,20210915,0.046,l,2,1,f,21.3,NA,2,20220401,A9,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
