"date","dpi","dpsi","bird_ID","band_number","swab_id","mass","l_eye_score","r_eye_score","scorer","swab","swabber","plasma","tears","tears_vol_l","tears_vol_r","rbcs","smear","experiment_notes","capture_date","population","capture_location","experiment_location","antimalarials","primary_treatment","primary_dose","primary_inoc_date","secondary_treatment","secondary_dose","secondary_inoc_date","recovered_prior_sec","elisa_date","od_mean","room","stack","cage","sex","mass_cap","vital_notes","qpcr_plate","qpcr_date","well","cq_value","quantity","quantity1","log10_quantity1","extraction_plate","extraction_date","cq8","cq7","cq6","cq5","cq4","cq3","cq2","cq1","qpcr_neg_cntrls","slope","efficiency","r2","yinter","error","ELISA.Run.Date","elisa_od","elisa_cv","MG.....OD.0.0621.","ELISA.notes","tes","threshold_cutoff","seropos_cutoff","pathology_cutoff","quantity_clean","day_inf","inf","inf_pri","inf_sec"
20211012,-8,"-49","-7_2274","2274","2274 PID -7","18.2",NA,NA,"na","y","dmh","y","n","na","na","y","y",NA,20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",1,20220329,"B9","Undetermined",0,1,0,1,20211208,"11.082",12.843,15.854,"20.17",NA,"26.494",30.904,NA,"neg",-3.372,97.967,0.991,38.954,"0.082","6.30.22",0.048,1.33,"-","",0,50,0.061,0,0,0,1,1,1
20211026,7,"-35","7_2274","2274","2274 PID 7","na",0.5,0,"dmh","y","dmh","n","n","na","na","na","na","Really 0.25 in each eye",20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",2,20220401,"D6","20.42173239",295708.0174,295709.0174,5.470864568,1,20211208,"10.794",12.708,16.308,"na","na","26.56",30.458,"na","neg",-3.349,0.995,98.879,38.744,"0.063",NA,NA,NA,NA,NA,0.5,50,0.061,0,295708.0174,1,1,1,1
20211102,14,"-28","14_2274","2274","na","18.4",0,0.5,"dmh","n","na","y","y","3","5","n","y",NA,20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.11.22",0.089,3.04,"+","",0.5,50,0.061,0,0,0,1,1,1
20211109,21,"-21","21_2274","2274","na","18.3",0,0,"dmh","n","na","n","n","na","na","na","na","Right eye not scoreable",20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,1
20211116,28,"-14","28_2274","2274","na","na",0,0,"dmh","n","na","n","n","na","na","na","na",NA,20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,1
20211123,35,"-7","35_2274","2274","na","na",0,0,"dmh","n","na","n","n","na","na","na","na",NA,20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,1
20211129,41,"-1","41_2274","2274","2274 PID 41","17.9",0,0,"dmh","y","dmh","y","n","na","na","y","y",NA,20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",5,20220404,"C8","29.68214407",199.0395399,200.0395399,2.301115847,4,20220126,"8.921",11.05,14.391,"18.575","na","25.11",29.042,"na","neg",-3.426,95.822,0.996,37.559,"0.058","9.9.22",0.044,3.023,"-","",0,50,0.061,0,199.0395399,1,1,1,1
20211204,46,"4","46_2274","2274","2274 SID 4","na",0,0,"dmh","y","dmh","n","n","na","na","na","na",NA,20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",10,20220412,"H12","31.87629086",62.56769254,63.56769254,1.803236447,8,20220299,"na",12.0148688,15.12964355,"18.22198982","22.41947993","25.92276566",29.08023652,"32.54923494","neg",-3.472,94.111,0.998,38.113,"0.032",NA,NA,NA,NA,NA,0,50,0.061,0,62.56769254,1,1,1,1
20211207,49,"7","49_2274","2274","2274 SID 7","na",0,0,"dmh","y","dmh","n","n","na","na","na","na",NA,20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",7,20220411,"C7","31.22477275",81.57703902,82.57703902,1.916859306,5,20220128,"na",12.73909061,15.79001628,"18.86811414","22.21804577","25.71867181",29.06757017,"32.39865795","neg",-3.299,100.947,0.999,37.532,"0.019",NA,NA,NA,NA,NA,0,50,0.061,0,81.57703902,1,1,1,1
20211214,56,"14","56_2274","2274","2274 SID 14","18.1",0,0,"dmh","y","dmh","y","n","na","na","y","y",NA,20210616,"va","mh","vt","n","High",30000,20211019,4,7000,20211130,"y","20210908","0.046","h","4","4","Female",17.6,"did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",14,20220414,"D11","29.39663139",210.98731,211.98731,2.326309864,11,20220211,"8.902841528",11.40514415,14.66821008,"17.91215959","22.30928992","25.27546141",28.50220874,"na","neg",-3.364,98.291,0.996,37.215,"0.047","8.2.23",0.048,0.733,"-","",0,50,0.061,0,210.98731,1,1,1,1
