"","primary_treatment_names","CV_lower","CV_upper","PV_lower","PV_upper","type","metric","value","lower","upper"
"1","Sham Priming",0.4370086486389,1.05593362057707,0.367433127530037,0.597939064675416,"Raw Max Pathogen Load","CV",0.815903441386584,0.4370086486389,1.05593362057707
"2","Sham Priming",0.4370086486389,1.05593362057707,0.367433127530037,0.597939064675416,"Raw Max Pathogen Load","PV",0.548129433760869,0.367433127530037,0.597939064675416
"3","Low Priming",0.928300171983325,2.66139717391723,0.598403505062543,0.821997663811774,"Raw Max Pathogen Load","CV",1.71557539439454,0.928300171983325,2.66139717391723
"4","Low Priming",0.928300171983325,2.66139717391723,0.598403505062543,0.821997663811774,"Raw Max Pathogen Load","PV",0.798106040490352,0.598403505062543,0.821997663811774
"5","High Priming",0.827336166386527,2.39029414392152,0.531511176921157,0.754352740370204,"Raw Max Pathogen Load","CV",1.60380280002753,0.827336166386527,2.39029414392152
"6","High Priming",0.827336166386527,2.39029414392152,0.531511176921157,0.754352740370204,"Raw Max Pathogen Load","PV",0.752929672631855,0.531511176921157,0.754352740370204
"7","Sham Priming",0.0428332501876738,0.0903112164565648,0.0446381601688274,0.0955407908802821,"log10(Max Pathogen Load)","CV",0.0722189257417428,0.0428332501876738,0.0903112164565648
"8","Sham Priming",0.0428332501876738,0.0903112164565648,0.0446381601688274,0.0955407908802821,"log10(Max Pathogen Load)","PV",0.0808722716294616,0.0446381601688274,0.0955407908802821
"9","Low Priming",0.564688685478184,1.60018681317768,0.486478528211152,0.751267843968054,"log10(Max Pathogen Load)","CV",0.997339967316306,0.564688685478184,1.60018681317768
"10","Low Priming",0.564688685478184,1.60018681317768,0.486478528211152,0.751267843968054,"log10(Max Pathogen Load)","PV",0.718325119003335,0.486478528211152,0.751267843968054
"11","High Priming",0.469483491694661,1.25292770853985,0.390375413846422,0.712970872723081,"log10(Max Pathogen Load)","CV",0.831011330314108,0.469483491694661,1.25292770853985
"12","High Priming",0.469483491694661,1.25292770853985,0.390375413846422,0.712970872723081,"log10(Max Pathogen Load)","PV",0.666175865002735,0.390375413846422,0.712970872723081
